seed,model,noise_type,severity,accuracy
0,ANN,clean,0.0,92.64
0,ANN,gaussian,0.1,77.94
0,ANN,gaussian,0.2,46.1
0,ANN,gaussian,0.3,27.96
0,ANN,gaussian,0.4,19.38
0,ANN,gaussian,0.5,16.08
0,ANN,salt_pepper,0.05,76.13
0,ANN,salt_pepper,0.1,54.11
0,ANN,salt_pepper,0.15,38.47
0,ANN,salt_pepper,0.2,28.48
0,ANN,salt_pepper,0.25,22.43
0,ANN,occlusion,4.0,90.67
0,ANN,occlusion,8.0,86.04
0,ANN,occlusion,12.0,74.81
0,ANN,occlusion,16.0,59.69
0,ANN,occlusion,20.0,44.58
0,SNN,clean,0.0,92.06
0,SNN,gaussian,0.1,87.54
0,SNN,gaussian,0.2,69.14
0,SNN,gaussian,0.3,44.64
0,SNN,gaussian,0.4,27.83
0,SNN,gaussian,0.5,19.28
0,SNN,salt_pepper,0.05,79.01
0,SNN,salt_pepper,0.1,59.3
0,SNN,salt_pepper,0.15,42.26
0,SNN,salt_pepper,0.2,31.06
0,SNN,salt_pepper,0.25,23.52
0,SNN,occlusion,4.0,89.92
0,SNN,occlusion,8.0,85.51
0,SNN,occlusion,12.0,78.28
0,SNN,occlusion,16.0,66.22
0,SNN,occlusion,20.0,53.61
0,Hybrid,clean,0.0,92.86
0,Hybrid,gaussian,0.1,79.94
0,Hybrid,gaussian,0.2,48.21
0,Hybrid,gaussian,0.3,27.61
0,Hybrid,gaussian,0.4,18.69
0,Hybrid,gaussian,0.5,15.68
0,Hybrid,salt_pepper,0.05,77.34
0,Hybrid,salt_pepper,0.1,56.16
0,Hybrid,salt_pepper,0.15,38.33
0,Hybrid,salt_pepper,0.2,28.13
0,Hybrid,salt_pepper,0.25,21.52
0,Hybrid,occlusion,4.0,91.0
0,Hybrid,occlusion,8.0,87.92
0,Hybrid,occlusion,12.0,80.41
0,Hybrid,occlusion,16.0,68.22
0,Hybrid,occlusion,20.0,54.57
1,ANN,clean,0.0,92.87
1,ANN,gaussian,0.1,80.08
1,ANN,gaussian,0.2,48.35
1,ANN,gaussian,0.3,28.93
1,ANN,gaussian,0.4,20.82
1,ANN,gaussian,0.5,16.75
1,ANN,salt_pepper,0.05,70.98
1,ANN,salt_pepper,0.1,48.16
1,ANN,salt_pepper,0.15,33.47
1,ANN,salt_pepper,0.2,25.82
1,ANN,salt_pepper,0.25,20.1
1,ANN,occlusion,4.0,90.58
1,ANN,occlusion,8.0,85.26
1,ANN,occlusion,12.0,74.56
1,ANN,occlusion,16.0,61.55
1,ANN,occlusion,20.0,48.83
1,SNN,clean,0.0,91.66
1,SNN,gaussian,0.1,89.18
1,SNN,gaussian,0.2,72.6
1,SNN,gaussian,0.3,47.63
1,SNN,gaussian,0.4,31.0
1,SNN,gaussian,0.5,20.76
1,SNN,salt_pepper,0.05,76.57
1,SNN,salt_pepper,0.1,55.02
1,SNN,salt_pepper,0.15,38.78
1,SNN,salt_pepper,0.2,28.74
1,SNN,salt_pepper,0.25,22.63
1,SNN,occlusion,4.0,89.43
1,SNN,occlusion,8.0,85.94
1,SNN,occlusion,12.0,77.78
1,SNN,occlusion,16.0,66.24
1,SNN,occlusion,20.0,53.04
1,Hybrid,clean,0.0,92.59
1,Hybrid,gaussian,0.1,80.65
1,Hybrid,gaussian,0.2,49.22
1,Hybrid,gaussian,0.3,29.2
1,Hybrid,gaussian,0.4,20.83
1,Hybrid,gaussian,0.5,16.51
1,Hybrid,salt_pepper,0.05,67.66
1,Hybrid,salt_pepper,0.1,42.87
1,Hybrid,salt_pepper,0.15,29.86
1,Hybrid,salt_pepper,0.2,23.46
1,Hybrid,salt_pepper,0.25,19.44
1,Hybrid,occlusion,4.0,90.29
1,Hybrid,occlusion,8.0,87.08
1,Hybrid,occlusion,12.0,79.49
1,Hybrid,occlusion,16.0,66.88
1,Hybrid,occlusion,20.0,56.68
2,ANN,clean,0.0,92.85
2,ANN,gaussian,0.1,79.15
2,ANN,gaussian,0.2,44.07
2,ANN,gaussian,0.3,27.19
2,ANN,gaussian,0.4,20.03
2,ANN,gaussian,0.5,16.61
2,ANN,salt_pepper,0.05,76.12
2,ANN,salt_pepper,0.1,54.52
2,ANN,salt_pepper,0.15,39.72
2,ANN,salt_pepper,0.2,29.67
2,ANN,salt_pepper,0.25,23.79
2,ANN,occlusion,4.0,90.7
2,ANN,occlusion,8.0,85.24
2,ANN,occlusion,12.0,72.07
2,ANN,occlusion,16.0,56.27
2,ANN,occlusion,20.0,39.99
2,SNN,clean,0.0,92.06
2,SNN,gaussian,0.1,88.69
2,SNN,gaussian,0.2,75.84
2,SNN,gaussian,0.3,55.67
2,SNN,gaussian,0.4,37.88
2,SNN,gaussian,0.5,26.78
2,SNN,salt_pepper,0.05,85.34
2,SNN,salt_pepper,0.1,73.77
2,SNN,salt_pepper,0.15,60.64
2,SNN,salt_pepper,0.2,48.73
2,SNN,salt_pepper,0.25,39.07
2,SNN,occlusion,4.0,90.32
2,SNN,occlusion,8.0,86.37
2,SNN,occlusion,12.0,78.06
2,SNN,occlusion,16.0,64.78
2,SNN,occlusion,20.0,54.38
2,Hybrid,clean,0.0,92.94
2,Hybrid,gaussian,0.1,85.42
2,Hybrid,gaussian,0.2,57.94
2,Hybrid,gaussian,0.3,35.63
2,Hybrid,gaussian,0.4,23.57
2,Hybrid,gaussian,0.5,17.7
2,Hybrid,salt_pepper,0.05,80.6
2,Hybrid,salt_pepper,0.1,62.16
2,Hybrid,salt_pepper,0.15,46.8
2,Hybrid,salt_pepper,0.2,35.38
2,Hybrid,salt_pepper,0.25,28.14
2,Hybrid,occlusion,4.0,91.2
2,Hybrid,occlusion,8.0,88.22
2,Hybrid,occlusion,12.0,81.2
2,Hybrid,occlusion,16.0,68.85
2,Hybrid,occlusion,20.0,56.21
3,ANN,clean,0.0,92.95
3,ANN,gaussian,0.1,80.28
3,ANN,gaussian,0.2,49.4
3,ANN,gaussian,0.3,30.22
3,ANN,gaussian,0.4,20.93
3,ANN,gaussian,0.5,16.31
3,ANN,salt_pepper,0.05,76.53
3,ANN,salt_pepper,0.1,57.67
3,ANN,salt_pepper,0.15,42.65
3,ANN,salt_pepper,0.2,32.2
3,ANN,salt_pepper,0.25,25.46
3,ANN,occlusion,4.0,91.02
3,ANN,occlusion,8.0,84.51
3,ANN,occlusion,12.0,69.23
3,ANN,occlusion,16.0,53.53
3,ANN,occlusion,20.0,39.32
3,SNN,clean,0.0,91.98
3,SNN,gaussian,0.1,88.12
3,SNN,gaussian,0.2,75.02
3,SNN,gaussian,0.3,56.07
3,SNN,gaussian,0.4,37.61
3,SNN,gaussian,0.5,25.06
3,SNN,salt_pepper,0.05,84.14
3,SNN,salt_pepper,0.1,71.29
3,SNN,salt_pepper,0.15,57.06
3,SNN,salt_pepper,0.2,44.03
3,SNN,salt_pepper,0.25,33.67
3,SNN,occlusion,4.0,90.23
3,SNN,occlusion,8.0,85.98
3,SNN,occlusion,12.0,77.36
3,SNN,occlusion,16.0,66.23
3,SNN,occlusion,20.0,53.46
3,Hybrid,clean,0.0,92.84
3,Hybrid,gaussian,0.1,82.73
3,Hybrid,gaussian,0.2,56.6
3,Hybrid,gaussian,0.3,34.46
3,Hybrid,gaussian,0.4,22.71
3,Hybrid,gaussian,0.5,17.18
3,Hybrid,salt_pepper,0.05,75.54
3,Hybrid,salt_pepper,0.1,54.1
3,Hybrid,salt_pepper,0.15,39.17
3,Hybrid,salt_pepper,0.2,30.03
3,Hybrid,salt_pepper,0.25,23.6
3,Hybrid,occlusion,4.0,90.91
3,Hybrid,occlusion,8.0,86.97
3,Hybrid,occlusion,12.0,78.05
3,Hybrid,occlusion,16.0,67.01
3,Hybrid,occlusion,20.0,52.01
4,ANN,clean,0.0,92.79
4,ANN,gaussian,0.1,80.21
4,ANN,gaussian,0.2,41.86
4,ANN,gaussian,0.3,23.96
4,ANN,gaussian,0.4,17.6
4,ANN,gaussian,0.5,15.11
4,ANN,salt_pepper,0.05,70.47
4,ANN,salt_pepper,0.1,44.93
4,ANN,salt_pepper,0.15,28.8
4,ANN,salt_pepper,0.2,21.75
4,ANN,salt_pepper,0.25,17.97
4,ANN,occlusion,4.0,90.62
4,ANN,occlusion,8.0,84.98
4,ANN,occlusion,12.0,71.56
4,ANN,occlusion,16.0,54.34
4,ANN,occlusion,20.0,41.62
4,SNN,clean,0.0,91.55
4,SNN,gaussian,0.1,88.14
4,SNN,gaussian,0.2,73.79
4,SNN,gaussian,0.3,55.12
4,SNN,gaussian,0.4,39.4
4,SNN,gaussian,0.5,29.07
4,SNN,salt_pepper,0.05,80.44
4,SNN,salt_pepper,0.1,65.56
4,SNN,salt_pepper,0.15,52.77
4,SNN,salt_pepper,0.2,43.19
4,SNN,salt_pepper,0.25,35.54
4,SNN,occlusion,4.0,89.85
4,SNN,occlusion,8.0,85.27
4,SNN,occlusion,12.0,76.22
4,SNN,occlusion,16.0,64.97
4,SNN,occlusion,20.0,54.8
4,Hybrid,clean,0.0,92.59
4,Hybrid,gaussian,0.1,83.99
4,Hybrid,gaussian,0.2,60.64
4,Hybrid,gaussian,0.3,38.09
4,Hybrid,gaussian,0.4,24.17
4,Hybrid,gaussian,0.5,18.07
4,Hybrid,salt_pepper,0.05,72.09
4,Hybrid,salt_pepper,0.1,49.53
4,Hybrid,salt_pepper,0.15,35.42
4,Hybrid,salt_pepper,0.2,25.74
4,Hybrid,salt_pepper,0.25,20.93
